district_id,district_name,state,development_index,population_lakhs,rural_pct,literacy_rate,female_literacy_rate,sc_st_pct,bpl_pct,agricultural_hh_pct,avg_landholding_ha,internet_penetration,health_facilities_per_lakh,pmkisan_eligible,pmkisan_enrolled,pmkisan_uptake_rate,pmkisan_gap_count,ab_eligible,ab_enrolled,ab_uptake_rate,ab_gap_count,combined_gap_score,pmkisan_gap_tier,ab_gap_tier,pmkisan_gap_rate,ab_gap_rate,priority_score,digital_access_index,gender_literacy_gap,log_population,state_avg_pmkisan_uptake,state_avg_ab_uptake,state_total_pmkisan_gap,state_total_ab_gap,pmkisan_residual,ab_residual,pmkisan_std_residual,pmkisan_anomalous,ab_std_residual,ab_anomalous,dual_anomalous,cluster_id,district_segment,pca_1,pca_2,recommended_intervention
D0001,UTT_Dist_01,Uttar Pradesh,0.4397,26.12,0.7479,0.6396,0.4677,0.3907,0.3276,0.7065,1.302,0.3174,11.02,184538,96503,0.5229,88035,77025,53074,0.6891,23951,0.394,High,Moderate,0.4770999999999999,0.3108999999999999,0.2924,0.4463,0.1719,3.3003,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.11635404777482072,0.06319375465796295,-2.049651845635272,True,1.045374794735494,False,False,2,Critical Priority,2.474181416965557,0.8104686894160571,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0002,UTT_Dist_02,Uttar Pradesh,0.4653,27.04,0.6529,0.568,0.4392,0.2282,0.3693,0.5392,1.071,0.412,14.64,145763,88182,0.605,57581,89852,61515,0.6846,28337,0.3552,Moderate,Moderate,0.395,0.3154,0.2809,0.4744,0.1288,3.3336,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.058497098791766566,0.016171929111468808,-1.0304642493823328,False,0.2675221177609353,False,False,1,Low Coverage,1.6447950988094633,-0.2964670400692575,Increase enrollment drives and improve local service access
D0003,UTT_Dist_03,Uttar Pradesh,0.3519,14.35,0.6787,0.5909,0.428,0.4269,0.3909,0.5765,1.445,0.221,15.31,82737,61260,0.7404,21477,50486,35278,0.6988,15208,0.2804,Moderate,Moderate,0.2596,0.3012,0.2414,0.369,0.1629,2.7311,0.6442813333333334,0.6424413333333333,8250549,4592090,0.11571637716009164,0.051413454118722224,2.038418865111804,False,0.8505006441997449,False,False,1,Low Coverage,1.2821627026892948,0.4454848436047239,Increase enrollment drives and improve local service access
D0004,UTT_Dist_04,Uttar Pradesh,0.4175,52.88,0.6232,0.6908,0.521,0.1765,0.4105,0.6037,0.897,0.2556,12.19,319220,195467,0.6123,123753,195359,132023,0.6758,63336,0.3559,Moderate,Moderate,0.3877,0.3242,0.3265,0.4297,0.1698,3.9868,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.050361439146980325,0.02638242185618922,-0.8871493400577792,False,0.4364279188948567,False,False,1,Low Coverage,2.019182377604639,1.2240710517857547,Increase enrollment drives and improve local service access
D0005,UTT_Dist_05,Uttar Pradesh,0.4825,108.31,0.614,0.723,0.6309,0.256,0.3428,0.5989,1.401,0.2115,11.95,648646,463350,0.7143,185296,334152,228404,0.6835,105748,0.3011,Moderate,Moderate,0.2856999999999999,0.3165,0.3182,0.4161,0.0921,4.6942,0.6442813333333334,0.6424413333333333,8250549,4592090,0.03605773408537383,0.025182863151423707,0.6351803192999332,False,0.4165843688232547,False,False,1,Low Coverage,1.2893763901646833,-0.6197415602109071,Increase enrollment drives and improve local service access
D0006,UTT_Dist_06,Uttar Pradesh,0.317,41.6,0.8169,0.5881,0.4777,0.3581,0.2136,0.8039,1.522,0.2401,10.44,334425,198516,0.5936,135909,79985,36417,0.4553,43568,0.4755,High,High,0.4064,0.5447,0.3128,0.3793,0.1104,3.7519,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.020190759656235957,-0.14781499425582206,-0.35567329702454015,False,-2.445211083206407,True,False,2,Critical Priority,4.257567620869572,-0.7484223156813293,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0007,UTT_Dist_07,Uttar Pradesh,0.3824,49.25,0.8344,0.6435,0.4799,0.2564,0.4371,0.6793,1.721,0.2572,13.59,334576,232133,0.6938,102443,193764,124360,0.6418,69404,0.3322,Moderate,Moderate,0.3062,0.3581999999999999,0.3201,0.4117,0.1636,3.917,0.6442813333333334,0.6424413333333333,8250549,4592090,0.0585590925531827,-0.00224413853693628,1.031556309605761,False,-0.037123381497536266,False,False,2,Critical Priority,2.460337702453012,0.9423580277954232,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0008,UTT_Dist_08,Uttar Pradesh,0.3753,12.88,0.6981,0.6593,0.5178,0.268,0.4003,0.6117,1.293,0.2896,11.24,78757,48105,0.6108,30652,46387,26139,0.5635,20248,0.4128,Moderate,High,0.3892,0.4365,0.3018,0.4375,0.1415,2.6304,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.03846276541565563,-0.07015330751409798,-0.677546502507899,False,-1.1605023287434775,False,False,2,Critical Priority,2.9868321662062662,0.5416118385755857,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0009,UTT_Dist_09,Uttar Pradesh,0.3871,43.62,0.8654,0.6484,0.5011,0.3042,0.3094,0.6185,1.083,0.2729,11.44,269745,160885,0.5964,108860,121437,74890,0.6167,46547,0.3934,High,Moderate,0.4035999999999999,0.3833,0.3009,0.4231,0.1473,3.7982,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.028815186693440298,-0.0007289192974030412,-0.507598160253703,False,-0.012058056449513747,False,False,2,Critical Priority,2.998942684236336,0.2789754530847483,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0010,UTT_Dist_10,Uttar Pradesh,0.4382,126.64,0.6506,0.6317,0.504,0.2548,0.438,0.6057,1.185,0.3772,9.56,767036,527029,0.6871,240007,499207,374515,0.7502,124692,0.2813,Moderate,Low,0.3128999999999999,0.2498,0.3629,0.479,0.1277,4.8492,0.6442813333333334,0.6424413333333333,8250549,4592090,0.035266304629809064,0.1281105331517649,0.6212387772967924,False,2.1192524961029005,False,False,1,Low Coverage,1.5965228233819475,0.2113494881129559,Increase enrollment drives and improve local service access
D0011,UTT_Dist_11,Uttar Pradesh,0.3208,59.71,0.7457,0.5604,0.4682,0.2666,0.4736,0.6083,0.914,0.245,8.67,363175,224399,0.6179,138776,254507,139684,0.5488,114823,0.4166,Moderate,High,0.3821,0.4512,0.3914,0.3712,0.0922,4.1061,0.6442813333333334,0.6424413333333333,8250549,4592090,0.03907204816969634,-0.01177594379443958,0.6882794124935935,False,-0.19480207962927892,False,False,2,Critical Priority,4.612446534062513,-0.3054635458647498,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0012,UTT_Dist_12,Uttar Pradesh,0.3689,49.03,0.6923,0.5629,0.4683,0.3336,0.2738,0.68,1.409,0.2819,14.72,333376,182808,0.5484,150568,120824,66007,0.5463,54817,0.4527,High,High,0.4516,0.4537,0.3302,0.3943,0.0946,3.9126,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.09257620635203667,-0.10691147498050713,-1.6307897820503288,False,-1.7685697236631814,False,False,2,Critical Priority,3.520340598585451,-1.022402863733051,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0013,UTT_Dist_13,Uttar Pradesh,0.4418,95.62,0.7154,0.6666,0.5522,0.308,0.3873,0.6674,1.098,0.3146,17.81,638179,443458,0.6949,194721,333280,210990,0.6331,122290,0.336,Moderate,Moderate,0.3051,0.3669,0.354,0.4554,0.1144,4.5708,0.6442813333333334,0.6424413333333333,8250549,4592090,0.01605315876965041,-0.06852022712497396,0.2827867799160187,False,-1.1334873003469568,False,False,1,Low Coverage,1.713096264152211,-0.1639243281268378,Increase enrollment drives and improve local service access
D0014,UTT_Dist_14,Uttar Pradesh,0.3399,19.27,0.7926,0.5351,0.4655,0.3878,0.3944,0.8065,1.084,0.3105,9.35,155382,92207,0.5934,63175,68387,40256,0.5887,28131,0.409,High,High,0.4065999999999999,0.4113,0.3117,0.4003,0.0696,3.0091,0.6442813333333334,0.6424413333333333,8250549,4592090,0.00927274034653991,0.01916513795422914,0.16334532170391738,False,0.31703690124765677,False,False,2,Critical Priority,4.030408076539134,-1.3175797427626046,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0015,UTT_Dist_15,Uttar Pradesh,0.4221,42.29,0.7033,0.6896,0.5623,0.3884,0.3041,0.5954,1.726,0.1915,13.03,251812,159960,0.6352,91852,115756,80083,0.6918,35673,0.3365,Moderate,Moderate,0.3648,0.3082,0.2674,0.3907,0.1273,3.7679,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.021390556021290807,0.038297451453902176,-0.3768084863974091,False,0.6335308080552955,False,False,1,Low Coverage,1.7526451513928665,-0.1615011323067474,Increase enrollment drives and improve local service access
D0016,UTT_Dist_16,Uttar Pradesh,0.3638,19.59,0.8063,0.6603,0.5041,0.2715,0.4183,0.5982,1.461,0.2787,12.74,117156,73263,0.6254,43893,73741,40616,0.5508,33125,0.4119,Moderate,High,0.3746,0.4492,0.3154,0.4313,0.1562,3.0248,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.016151614488143617,-0.08981146051252242,-0.2845211411099509,False,-1.4856948697918966,False,False,2,Critical Priority,3.242202920047153,0.8967159756766223,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0017,UTT_Dist_17,Uttar Pradesh,0.4286,41.82,0.7866,0.6765,0.5222,0.3595,0.4029,0.6264,1.52,0.3562,16.19,261964,191343,0.7304,70621,151658,102218,0.674,49440,0.2978,Moderate,Moderate,0.2695999999999999,0.3259999999999999,0.2792,0.4843,0.1543,3.757,0.6442813333333334,0.6424413333333333,8250549,4592090,0.05372979574273895,-0.017333183281058373,0.9464851211946722,False,-0.2867320198435513,False,False,1,Low Coverage,1.058936083587708,0.5365396127664445,Increase enrollment drives and improve local service access
D0018,UTT_Dist_18,Uttar Pradesh,0.5065,147.41125000000002,0.6913,0.7372,0.5659,0.2864,0.3086,0.571,1.584,0.2738,9.53,1142087,827856,0.7249,314231,555448,311262,0.5604,244186,0.3574,Moderate,High,0.2751,0.4396,0.4177,0.4592,0.1713,5.0,0.6442813333333334,0.6424413333333333,8250549,4592090,0.04745877439912072,-0.08316613953357355,0.8360170221747063,False,-1.3757654773713597,False,False,1,Low Coverage,2.060075521668733,1.265199845633545,Increase enrollment drives and improve local service access
D0019,UTT_Dist_19,Uttar Pradesh,0.3622,118.14,0.7284,0.6783,0.5793,0.2202,0.5962,0.5301,1.896,0.3015,14.73,626310,393044,0.6276,233266,633942,420575,0.6634,213367,0.3545,Moderate,Moderate,0.3723999999999999,0.3366,0.4663,0.4522,0.099,4.7803,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.03959020914065736,-0.009904747998371044,-0.6974071533059827,False,-0.16384805684944723,False,False,2,Critical Priority,3.378786540652812,0.4899591878995171,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0020,UTT_Dist_20,Uttar Pradesh,0.4838,28.85,0.6451,0.63,0.4509,0.1606,0.2604,0.6089,1.425,0.3531,12.72,175651,133779,0.7616,41872,67613,46348,0.6855,21265,0.2764,Low,Moderate,0.2383999999999999,0.3145,0.2093,0.4639,0.1791,3.3962,0.6442813333333334,0.6424413333333333,8250549,4592090,0.07786625352053944,0.012895338866962813,1.3716644439381178,False,0.21331953282476335,False,False,1,Low Coverage,0.0281864836522346,0.3940722705663516,Increase enrollment drives and improve local service access
D0021,UTT_Dist_21,Uttar Pradesh,0.2991,37.86,0.9151,0.6397,0.5015,0.3774,0.4114,0.6882,1.81,0.1835,8.18,260590,135298,0.5192,125292,140181,77043,0.5496,63138,0.4656,High,High,0.4808,0.4504,0.3711,0.366,0.1382,3.66,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.06541582465969331,-0.017073914919792488,-1.1523420827352566,False,-0.282443105354979,False,False,2,Critical Priority,5.214945772688786,0.6989094071685943,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0022,UTT_Dist_22,Uttar Pradesh,0.2404,17.03,0.8893,0.4802,0.3405,0.4066,0.5469,0.6554,1.164,0.3091,11.19,111616,62398,0.559,49218,83823,42122,0.5025,41701,0.4692,High,High,0.4409999999999999,0.4975,0.3814,0.3775,0.1397,2.892,0.6442813333333334,0.6424413333333333,8250549,4592090,0.013665698032331308,-0.05540139168314728,0.24073011407404324,False,-0.9164706033426349,False,False,2,Critical Priority,5.66476360364738,0.6862351010809018,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0023,UTT_Dist_23,Uttar Pradesh,0.4056,57.64,0.7171,0.6094,0.4739,0.3355,0.4427,0.7574,1.43,0.2395,12.79,436552,263357,0.6033,173195,229670,147446,0.642,82224,0.3774,Moderate,Moderate,0.3967,0.358,0.3671,0.3875,0.1355,4.0714,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.01799239118651097,0.016673707654622838,-0.3169476138400794,False,0.27582272664850027,False,False,2,Critical Priority,3.1544863089451964,0.4679218419644291,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0024,UTT_Dist_24,Uttar Pradesh,0.4708,21.59,0.6354,0.634,0.5321,0.2545,0.4267,0.5616,1.695,0.3748,12.74,121253,85879,0.7083,35374,82911,57497,0.6935,25414,0.2991,Moderate,Moderate,0.2916999999999999,0.3065,0.2675,0.4785,0.1019,3.1175,0.6442813333333334,0.6424413333333333,8250549,4592090,0.029987676927484608,0.02711298162066167,0.528252334457887,False,0.44851311256567467,False,False,1,Low Coverage,1.1151289527435002,-0.571073000473836,Increase enrollment drives and improve local service access
D0025,UTT_Dist_25,Uttar Pradesh,0.3983,40.81,0.8128,0.6363,0.4888,0.2488,0.358,0.6601,1.476,0.3879,15.76,269379,166317,0.6174,103062,131496,93459,0.7107,38037,0.3359,Moderate,Moderate,0.3826,0.2893,0.2878,0.4873,0.1475,3.7331,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.05681290932122507,0.023852973629214236,-1.0007961619998051,False,0.39458483747991707,False,False,1,Low Coverage,1.6866736309159176,0.2050571320774654,Increase enrollment drives and improve local service access
D0026,UTT_Dist_26,Uttar Pradesh,0.3809,17.91,0.695,0.6726,0.5986,0.25,0.3322,0.6324,1.999,0.2782,8.97,113296,78056,0.689,35240,53560,34532,0.6447,19028,0.3331,Moderate,Moderate,0.311,0.3552999999999999,0.2506,0.436,0.074,2.9397,0.6442813333333334,0.6424413333333333,8250549,4592090,0.024508710217403307,0.015533222131023261,0.43173679035560164,False,0.25695638729922327,False,False,1,Low Coverage,2.056488728870636,-1.2400578304902374,Increase enrollment drives and improve local service access
D0027,UTT_Dist_27,Uttar Pradesh,0.4499,67.76,0.6915,0.6902,0.4911,0.2197,0.3453,0.7117,1.716,0.1562,18.07,482309,302624,0.6274,179685,210592,149646,0.7106,60946,0.331,Moderate,Moderate,0.3726,0.2894,0.3145,0.3698,0.1991,4.2306,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.04831878322470362,0.002939274564597971,-0.8511666341600524,False,0.04862258242525385,False,False,1,Low Coverage,1.392086494156482,1.5092727244511417,Increase enrollment drives and improve local service access
D0028,UTT_Dist_28,Uttar Pradesh,0.4447,82.15,0.7867,0.7025,0.6248,0.2499,0.397,0.6537,1.91,0.2498,13.41,537024,352983,0.6573,184041,293491,176229,0.6005,117262,0.3711,Moderate,Moderate,0.3427,0.3994999999999999,0.3658,0.4309,0.0777,4.4206,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.012347480608702277,-0.06464490024234681,-0.21750886112353532,False,-1.0693801893454413,False,False,2,Critical Priority,2.839294765365725,-0.6807340890633631,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0029,UTT_Dist_29,Uttar Pradesh,0.3985,30.71,0.7363,0.612,0.5197,0.2323,0.2749,0.6321,1.145,0.3138,14.34,194141,123488,0.6361,70653,76000,53096,0.6986,22904,0.3326,Moderate,Moderate,0.3639,0.3014,0.246,0.4331,0.0923,3.4566,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.0227363525830645,0.036558938203638425,-0.4005155637139357,False,0.6047716697199225,False,False,1,Low Coverage,1.6473408019524365,-1.3062817751400928,Increase enrollment drives and improve local service access
D0030,UTT_Dist_30,Uttar Pradesh,0.4379,147.41125000000002,0.8788,0.6503,0.5457,0.3128,0.4446,0.6933,1.512,0.4478,11.33,1386530,867266,0.6255,519264,800333,479507,0.5991,320826,0.3877,Moderate,High,0.3745,0.4009,0.5625,0.5288,0.1046,5.0,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.029955892066082734,-0.03945805228612864,-0.5276924235567467,False,-0.6527299023861716,False,False,2,Critical Priority,3.892274620202626,0.2594554017115441,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0031,UTT_Dist_31,Uttar Pradesh,0.2301,67.26,0.7087,0.522,0.4671,0.326,0.5037,0.6278,1.436,0.0697,14.03,422279,237452,0.5623,184827,304907,169037,0.5544,135870,0.4416,High,High,0.4377,0.4456,0.4324,0.2506,0.0549,4.2233,0.6442813333333334,0.6424413333333333,8250549,4592090,0.00016957161323372105,-0.034908951105231845,0.002987113698502973,False,-0.5774769641970773,False,False,2,Critical Priority,5.621456019221627,-0.9710769792364388,"Immediate outreach, mobile camps, beneficiary verification, and awareness campaigns"
D0032,UTT_Dist_32,Uttar Pradesh,0.3941,40.5,0.7357,0.6104,0.4738,0.2141,0.2648,0.712,1.211,0.2693,13.02,288341,174053,0.6036,114288,96515,64140,0.6646,32375,0.3659,Moderate,Moderate,0.3964,0.3354,0.2736,0.4057,0.1366,3.7257,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.04168140301924206,0.020108261280095352,-0.7342448867135608,False,0.3326384010877003,False,False,1,Low Coverage,2.1953107868559774,-0.2711293035503483,Increase enrollment drives and improve local service access
D0033,UTT_Dist_33,Uttar Pradesh,0.3146,47.05,0.7495,0.583,0.4348,0.3388,0.3579,0.745,1.181,0.3158,17.43,350498,210513,0.6006,139985,151559,109433,0.7221,42126,0.3387,Moderate,Moderate,0.3994,0.2779,0.3023,0.4227,0.1482,3.8722,0.6442813333333334,0.6424413333333333,8250549,4592090,-0.04488514632255436,0.045169087701444344,-0.7906808981816157,False,0.7472039925440803,False,False,1,Low Coverage,2.078913851868065,0.1455538700137096,Increase enrollment drives and improve local service access
