district_id,district_name,state,development_index,population_lakhs,rural_pct,literacy_rate,female_literacy_rate,sc_st_pct,bpl_pct,agricultural_hh_pct,avg_landholding_ha,internet_penetration,health_facilities_per_lakh,pmkisan_eligible,pmkisan_enrolled,pmkisan_uptake_rate,pmkisan_gap_count,ab_eligible,ab_enrolled,ab_uptake_rate,ab_gap_count,combined_gap_score
D0001,UTT_Dist_01,Uttar Pradesh,0.4397,26.12,0.7479,0.6396,0.4677,0.3907,0.3276,0.7065,1.302,0.3174,11.02,184538,96503,0.5229,88035,77025,53074,0.6891,23951,0.394
D0002,UTT_Dist_02,Uttar Pradesh,0.4653,27.04,0.6529,0.568,0.4392,0.2282,0.3693,0.5392,1.071,0.412,14.64,145763,88182,0.605,57581,89852,61515,0.6846,28337,0.3552
D0003,UTT_Dist_03,Uttar Pradesh,0.3519,14.35,0.6787,0.5909,0.428,0.4269,0.3909,0.5765,1.445,0.221,15.31,82737,61260,0.7404,21477,50486,35278,0.6988,15208,0.2804
D0004,UTT_Dist_04,Uttar Pradesh,0.4175,52.88,0.6232,0.6908,0.521,0.1765,0.4105,0.6037,0.897,0.2556,12.19,319220,195467,0.6123,123753,195359,132023,0.6758,63336,0.3559
D0005,UTT_Dist_05,Uttar Pradesh,0.4825,108.31,0.614,0.723,0.6309,0.256,0.3428,0.5989,1.401,0.2115,11.95,648646,463350,0.7143,185296,334152,228404,0.6835,105748,0.3011
D0006,UTT_Dist_06,Uttar Pradesh,0.317,41.6,0.8169,0.5881,0.4777,0.3581,0.2136,0.8039,1.522,0.2401,10.44,334425,198516,0.5936,135909,79985,36417,0.4553,43568,0.4755
D0007,UTT_Dist_07,Uttar Pradesh,0.3824,49.25,0.8344,0.6435,0.4799,0.2564,0.4371,0.6793,1.721,0.2572,13.59,334576,232133,0.6938,102443,193764,124360,0.6418,69404,0.3322
D0008,UTT_Dist_08,Uttar Pradesh,0.3753,12.88,0.6981,0.6593,0.5178,0.268,0.4003,0.6117,1.293,0.2896,11.24,78757,48105,0.6108,30652,46387,26139,0.5635,20248,0.4128
D0009,UTT_Dist_09,Uttar Pradesh,0.3871,43.62,0.8654,0.6484,0.5011,0.3042,0.3094,0.6185,1.083,0.2729,11.44,269745,160885,0.5964,108860,121437,74890,0.6167,46547,0.3934
D0010,UTT_Dist_10,Uttar Pradesh,0.4382,126.64,0.6506,0.6317,0.504,0.2548,0.438,0.6057,1.185,0.3772,9.56,767036,527029,0.6871,240007,499207,374515,0.7502,124692,0.2813
D0011,UTT_Dist_11,Uttar Pradesh,0.3208,59.71,0.7457,0.5604,0.4682,0.2666,0.4736,0.6083,0.914,0.245,8.67,363175,224399,0.6179,138776,254507,139684,0.5488,114823,0.4166
D0012,UTT_Dist_12,Uttar Pradesh,0.3689,49.03,0.6923,0.5629,0.4683,0.3336,0.2738,0.68,1.409,0.2819,14.72,333376,182808,0.5484,150568,120824,66007,0.5463,54817,0.4527
